ID,Hook Style,Main Text,Comment Text
1,분노/저격,"일본 이거는 진짜 해명해야된다고 생각함 엄청 비싼비누 같은데 그것도 아님 옷 찌든때 싹 잡아주는거 대박임.. 요새 빨래는 이 비누로만 함;;","문의 DM으로 많이 와서 프로필링크에 정보 남겼어! 30. 초깔끔 비누 확인하면 돼!!"
2,호들갑/천재,"와 이거 만든 사람 진짜 천재 아님??? ㄷㄷ 발사믹이랑 올리브유 부으니까 고래가 둥둥 떠다니는데 미쳤다 ;; 그냥 빵 찍어 먹는 건데 갑자기 식탁 분위기가 힙해짐 ㅠㅠㅠ 친구들 놀러 오면 다들 어디서 샀냐고 난리 날 듯 ;; 집들이 필수템 등극 각임 ㄷㄷ","[광고] 이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
3,종결템,"와.. 빗자루질 끝판왕 마침내 찾았다! 쓰레받기 당장 버리세요! 1초 만에 싹 흡입함","제품 정보는 프로필에 있습니다."
4,무조건 추천,"일본가면 무조건 10개씩 챙기는거!!!! 옷 찌든때 싹 잡아주는게 진짜 대박임 요새 빨래는 이 비누로만 함;;","[광고] 이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
5,가성비/절약,"코스트코 가면 이거 그냥 담아와... 슥슥 잘라서 신발장이랑 옷장에 넣어놨는데 문 여는 순간 호텔 로비 향 확 남;;ㅋㅋㅋ 방향제에 돈 쓸 이유가 없어짐ㅠ","향 지속도 오래가서 돈도 아낌 [쿠팡 파트너스 활동으로 수수료를 제공받습니다.]"
6,흥분/실물깡패,"헐? 좀전에 택배 왔는데 박스뜯자마자 돌고래 데시벨로 소리 지름 실물이 사진보다 100만배 더 이뿌ㅠ 진짜 뭔 루브르박물관에서 털어온 줄","제품 정보 가져왔어요! 댓글을 지금 봤네요 ㅠ 죄송합니당"
7,품절템/신상,"이거 넘 좋아서 선물로 돌리려고 5개 샀는데... 공항에서 다 뺏김 ㅠㅠ 근데 이제 한국에서도 살 수 있다고??","[광고] 무선이라 출근 했을때나 외출 했을 때 쓰기 넘 좋아!! ⬇ 정보는 아래 링크에! ⬇"
8,인기템 인증,"이거 만드신 분 진심 상줘야 돼.. 보기 싫은 물건이나 장난감 다 때려박으니 너무 좋음 스레드에서 인기인 이유를 알 것 같다","정보 물어본 스친있어서 정보 남길게! 예쁘게 사는 집 보면 다 숨겨버리더라.."
9,의문 해결,"와..이 치약 왜 비싼가 했더니 이유가 있었네;;","(광고)이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다. ✨치약계의 에르메스라고 불리는"
10,충격/건강,"와 이건 진짜 미쳐버림;; 진심 소름.. 요즘 아이들 쇼츠에 빠져서 거북목되는거 순식간인거 알거임. 성장기에 안좋으니까 하루에 10분만 꾸준히 스트레칭 시키셈. 효과 진짜 미쳐버렸음 ㄷㄷㄷ","☕ 커피값으로 이거 하나 사 ⬇ 제품정보 여기! ⬇"
11,분노/억울,"真的快被媽媽的瘋狂笑死 至從媽媽看脆學會這樣搞... 什麼都要打洞😂 (진짜 엄마의 광기에 웃겨 죽겠음 쓰레드 보고 이렇게 하는 법 배우더니 뭐든 다 구멍을 뚫어버림)","생활 지혜의 일부 (제품 링크)"
